Date,Open,High,Low,Close,Volume
3/5/2024,"1,216.36","1,225.75","1,216.36","1,221.03",643.43K
2/5/2024,"1,212.13","1,216.36","1,206.28","1,216.36",570.36K
26/04/2024,"1,204.97","1,216.60","1,198.73","1,209.52",620.88K
25/04/2024,"1,205.61","1,208.41","1,200.21","1,204.97",569.65K
24/04/2024,"1,177.40","1,207.61","1,177.40","1,205.61",820.08K
23/04/2024,"1,190.22","1,192.80","1,169.61","1,177.40",778.31K
22/04/2024,"1,174.85","1,193.88","1,174.85","1,190.22",708.58K
19/04/2024,"1,193.01","1,193.01","1,165.99","1,174.85",1.07M
17/04/2024,"1,215.68","1,221.47","1,193.01","1,193.01",859.25K
16/04/2024,"1,216.61","1,222.45","1,191.73","1,215.68",1.36M
15/04/2024,"1,276.60","1,281.81","1,216.61","1,216.61",1.46M
12/4/2024,"1,258.20","1,278.39","1,258.20","1,276.60",944.45K
11/4/2024,"1,258.56","1,262.03","1,248.11","1,258.20",686.82K
10/4/2024,"1,262.82","1,268.72","1,258.56","1,258.56",702.28K
9/4/2024,"1,252.40","1,262.82","1,247.70","1,262.82",717.43K
8/4/2024,"1,255.11","1,258.40","1,246.87","1,250.35",876.04K
5/4/2024,"1,268.25","1,268.25","1,253.56","1,255.11",1.08M
4/4/2024,"1,271.47","1,277.62","1,265.12","1,268.25",980.91K
3/4/2024,"1,287.04","1,288.99","1,271.47","1,271.47",1.08M
2/4/2024,"1,281.52","1,287.04","1,268.48","1,287.04",1.09M
1/4/2024,"1,284.09","1,286.80","1,274.09","1,281.52",971.21K
29/03/2024,"1,290.18","1,293.04","1,282.44","1,284.09",922.55K
28/03/2024,"1,283.09","1,293.90","1,283.09","1,290.18",1.01M
27/03/2024,"1,282.21","1,286.72","1,276.95","1,283.09",919.28K
26/03/2024,"1,267.86","1,282.50","1,264.42","1,282.21",941.70K
25/03/2024,"1,281.80","1,286.84","1,264.51","1,267.86",1.24M
22/03/2024,"1,276.42","1,291.27","1,276.38","1,281.80",1.38M
21/03/2024,"1,260.08","1,276.42","1,260.08","1,276.42",1.25M
20/03/2024,"1,242.46","1,261.55","1,235.46","1,260.08",915.57K
19/03/2024,"1,246.54","1,249.75","1,238.92","1,242.46",914.65K
18/03/2024,"1,263.78","1,269.90","1,221.67","1,243.56",1.71M
15/03/2024,"1,264.26","1,271.63","1,252.36","1,263.78",1.07M
14/03/2024,"1,270.51","1,276.41","1,258.67","1,264.26",1.06M
13/03/2024,"1,245.00","1,270.51","1,245.00","1,270.51",982.23K
12/3/2024,"1,235.49","1,248.33","1,233.14","1,245.00",836.22K
11/3/2024,"1,247.35","1,254.01","1,233.49","1,235.49",975.99K
8/3/2024,"1,268.46","1,274.30","1,247.35","1,247.35",1.35M
